clim_project,model,member,horizon,scenario,stats,spatial_ref,tavg,pet,prcp
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,far,ssp126,mean,0,,,
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,far,ssp245,mean,0,2.850610733,6.923569202,-4.359785342
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,far,ssp370,mean,0,3.491003036,1.780896068,-13.28810431
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,far,ssp585,mean,0,,,
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,near,ssp126,mean,0,,,
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,near,ssp245,mean,0,1.986278534,3.0369699,-4.834299278
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,near,ssp370,mean,0,1.89263916,-0.548575044,-2.395373887
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,near,ssp585,mean,0,,,
cmip6,NCC_NorESM2-LM,r1i1p1f1,far,ssp126,mean,0,,,
cmip6,NCC_NorESM2-LM,r1i1p1f1,far,ssp245,mean,0,1.995555878,2.563979387,4.052244063
cmip6,NCC_NorESM2-LM,r1i1p1f1,far,ssp370,mean,0,2.714223862,0.743737519,1.381821269
cmip6,NCC_NorESM2-LM,r1i1p1f1,far,ssp585,mean,0,3.619417191,2.116968393,2.003316198
cmip6,NCC_NorESM2-LM,r1i1p1f1,near,ssp126,mean,0,,,
cmip6,NCC_NorESM2-LM,r1i1p1f1,near,ssp245,mean,0,1.50113678,0.763819218,4.622587739
cmip6,NCC_NorESM2-LM,r1i1p1f1,near,ssp370,mean,0,1.710781097,0.602207422,1.468764012
cmip6,NCC_NorESM2-LM,r1i1p1f1,near,ssp585,mean,0,2.014915466,0.426487684,3.108104146
cmip6,NCC_NorESM2-MM,r1i1p1f1,far,ssp126,mean,0,1.130609512,1.100211978,0.028247057
cmip6,NCC_NorESM2-MM,r1i1p1f1,far,ssp245,mean,0,2.044998169,3.481682777,-2.426191324
cmip6,NCC_NorESM2-MM,r1i1p1f1,far,ssp370,mean,0,3.035079956,3.24803853,-8.332881936
cmip6,NCC_NorESM2-MM,r1i1p1f1,far,ssp585,mean,0,3.960136414,4.336400509,-8.140274158
cmip6,NCC_NorESM2-MM,r1i1p1f1,near,ssp126,mean,0,1.073162079,0.000211964,-2.381468264
cmip6,NCC_NorESM2-MM,r1i1p1f1,near,ssp245,mean,0,1.586719513,0.99617821,-2.91581856
cmip6,NCC_NorESM2-MM,r1i1p1f1,near,ssp370,mean,0,1.891889572,0.851386905,-2.187662546
cmip6,NCC_NorESM2-MM,r1i1p1f1,near,ssp585,mean,0,2.350467682,2.217078209,-4.650035105
cmip6,NIMS-KMA_KACE-1-0-G,r1i1p1f1,far,ssp126,mean,0,2.092969894,6.884376526,0.755526555
cmip6,NIMS-KMA_KACE-1-0-G,r1i1p1f1,far,ssp245,mean,0,2.935470581,8.657150269,-2.144977506
cmip6,NIMS-KMA_KACE-1-0-G,r1i1p1f1,far,ssp370,mean,0,3.979639053,8.736727715,-14.20309609
cmip6,NIMS-KMA_KACE-1-0-G,r1i1p1f1,far,ssp585,mean,0,4.872886658,9.1052742,-17.6384923
cmip6,NIMS-KMA_KACE-1-0-G,r1i1p1f1,near,ssp126,mean,0,1.842054367,5.807949066,0.399554634
cmip6,NIMS-KMA_KACE-1-0-G,r1i1p1f1,near,ssp245,mean,0,2.212413788,4.995292664,-1.144673132
cmip6,NIMS-KMA_KACE-1-0-G,r1i1p1f1,near,ssp370,mean,0,2.351886749,4.978155613,-5.503272145
cmip6,NIMS-KMA_KACE-1-0-G,r1i1p1f1,near,ssp585,mean,0,2.765750885,4.764446259,-13.07732137
cmip6,NOAA-GFDL_GFDL-ESM4,r1i1p1f1,far,ssp126,mean,0,1.049665451,3.30180788,0.990679635
cmip6,NOAA-GFDL_GFDL-ESM4,r1i1p1f1,far,ssp245,mean,0,2.048700333,5.352145195,0.132820136
cmip6,NOAA-GFDL_GFDL-ESM4,r1i1p1f1,far,ssp370,mean,0,3.231363297,2.488684416,-6.175509606
cmip6,NOAA-GFDL_GFDL-ESM4,r1i1p1f1,far,ssp585,mean,0,3.578418732,2.620132923,-4.277636475
cmip6,NOAA-GFDL_GFDL-ESM4,r1i1p1f1,near,ssp126,mean,0,1.012638092,2.566342354,8.208005543
cmip6,NOAA-GFDL_GFDL-ESM4,r1i1p1f1,near,ssp245,mean,0,1.481805801,2.487640619,-4.219373629
cmip6,NOAA-GFDL_GFDL-ESM4,r1i1p1f1,near,ssp370,mean,0,2.01111412,1.4337852,0.993946973
cmip6,NOAA-GFDL_GFDL-ESM4,r1i1p1f1,near,ssp585,mean,0,2.020446777,1.264372706,-3.809674703
